Treatment,Trial,Arena,Fish_ID,Tank_ID,Batch,Body_mass,Body_length,Velocity,notes,Distance_moved,Time_moving,Time_not_moving,Arena_freq,Time_arena,Shelter_freq,Time_shelter,Distance_shelter,total_wbc,N-L_ratio,Lymphocyte,Neutrophil,Monocyte
high,Trial    19,Arena 2,51,6,Batch 3,0.8186,3.71,1.08416,,115.174,11.5333,98.0666,29,110.6,0,1089.4,2.61148,23,0.136363636,88,12,
high,Trial    21,Arena 3,90,10,Batch 5,0.3381,2.89,1.08811,,1305.4,188.6,1011.33,1,1200,0,0,13.2635,25,0.265822785,79,21,
Control,Trial     5,Arena 4,81,9,Batch 5,0.5265,3.15,1.10582,,713.621,137,533.999,11,675.333,1,524.667,5.8332,45,0.265822785,79,21,
Control,Trial     4,Arena 1,64,7,Batch 4,1.3362,4.5,1.10875,,518.524,89.9999,434.333,41,546.999,72,653.001,3.16832,45,0.185185185,81,15,4
low,Trial    17,Arena 4,10,2,Batch 1,0.6993,3.5,1.16312,,229.87,33.8,166.333,21,201.333,1,998.667,4.16319,38,0.420289855,69,29,2
low,Trial    22,Arena 3,110,12,Batch 6,0.9373,3.9,1.17423,,651.034,98.4999,458.633,23,558.666,19,641.334,9.67279,48,0.754385965,57,43,
low,Trial    36,Arena 3,78,18,Batch 4,0.4536,3.28,1.17747,,1137.79,164.16,803.36,17,968.02,4,231.98,8.30931,26,1.043478261,46,48,6
low,Trial    29,Arena 2,95,21,Batch 5,0.5121,3.28,1.19217,,593.977,76.5333,422.8,11,499.7,11,700.3,4.8243,33,1.083333333,48,52,
Control,Trial    25,Arena 2,15,16,Batch 1,0.2965,2.55,1.1974,,17.1228,2.96665,11.7333,4,14.9333,0,1185.0667,1.77665,60,0.548387097,62,34,4
high,Trial    27,Arena 3,54,6,Batch 3,0.4101,3,1.20077,,32.3407,5.13332,23.4,12,29.4666,0,1170.5334,1.02895,28,0.46875,64,30,6
low,Trial    34,Arena 2,39,14,Batch 2,0.4745,3.05,1.22745,,369.135,57.7999,244.533,17,303.466,0,896.534,6.28563,56,0.414285714,70,29,1
high,Trial    10,Arena 4,25,3,Batch 2,1.0201,4,1.22944,,370.06,59.6666,249.666,8,314.333,0,885.667,9.22352,26,0.53968254,63,34,3
Control,Trial     3,Arena 2,43,5,Batch 3,0.6041,3.4,1.27422,,364.851,66.6666,230.333,11,301,0,899,9.88893,55,0.27027027,74,20,6
low,Trial    28,Arena 2,75,18,Batch 4,0.4191,2.89,1.28712,,107.002,18.7666,64.6666,3,83.5999,2,1116.4001,6.88882,21,1.30952381,42,55,3
high,Trial    31,Arena 2,135,23,Batch 7,0.4994,3.1,1.28875,,25.775,1.96667,18.3333,5,20.5666,1,1179.4334,0.755201,40,0.111111111,90,10,
low,Trial     9,Arena 4,5,1,Batch 1,0.9499,3.81,1.32952,,65.1467,6.6,43.4,1,50.2,1,1149.8,1.49977,35,1.0625,48,51,1
high,Trial    10,Arena 3,26,3,Batch 2,1.1106,4.21,1.3316,,471.831,96.6666,272.333,15,374.333,15,825.667,7.56741,49,0.484375,64,31,5
Control,Trial    23,Arena 2,131,15,Batch 7,0.3477,2.88,1.34428,,1559.1,248.166,912.332,6,1160.8,7,39.2,9.42704,59,0.190476191,84,16,
low,Trial    22,Arena 1,112,12,Batch 6,0.6788,3.59,1.36048,,167.385,28.6333,97.1332,25,127.667,13,1072.333,6.97909,29,1,50,50,
Control,Trial    24,Arena 3,150,20,Batch 8,0.4751,3.1,1.46452,,109.497,20.2666,56.8333,25,78.5333,1,1121.4667,1.3991,62,0.190476191,84,16,
high,Trial    27,Arena 4,53,6,Batch 3,0.88,3.8,1.47069,,379.634,68.6666,193.133,31,263.5,4,936.5,4.74885,18,0.182926829,82,15,3
high,Trial    30,Arena 1,116,22,Batch 6,0.3811,2.9,1.51229,,214.896,34.1333,108.633,6,142.967,5,1057.033,6.1158,25,0.515151515,66,34,
Control,Trial    40,Arena 4,157,24,Batch 8,0.661,3.5,1.51537,,15.7598,2.5,7.99999,1,10.5333,0,1189.4667,3.8574,51,0.176470588,85,15,
high,Trial    39,Arena 3,138,23,Batch 7,0.6412,3.5,1.57638,,907.524,133.6,445.466,32,580.199,17,619.801,8.42567,17,0.298701299,77,23,
Control,Trial    23,Arena 1,132,15,Batch 7,0.4892,3.2,1.62608,,490.318,91.3332,212.033,17,304.2,12,895.8,5.82084,50,0.123595506,89,11,
Control,Trial    23,Arena 4,129,15,Batch 7,0.5824,3.38,1.66066,,577.022,88.6999,261.133,24,350.833,0,849.167,8.14276,46,0.136363636,88,12,
low,Trial     8,Arena 1,144,19,Batch 8,0.5889,3.4,1.72829,,594.531,126.667,254,38,396,62,804,4.58929,23,0.265822785,79,21,
low,Trial    16,Arena 4,145,19,Batch 8,0.4991,3.15,1.73345,,90.6594,17.1333,35.8666,8,53.4666,1,1146.5334,5.69936,24,0.960784314,51,49,
Control,Trial    13,Arena 2,87,9,Batch 5,0.5587,3.22,1.74955,,927.668,177.133,357.166,36,536.466,1,663.534,8.71464,53,0.111111111,90,10,
low,Trial    34,Arena 1,40,14,Batch 2,0.3537,2.7,1.82943,,427.293,72.2333,162.933,14,235.866,3,964.134,10.2299,45,0.754385965,57,43,
Control,Trial     5,Arena 3,82,9,Batch 5,0.4841,3.18,1.83609,,18.9729,4,9.33332,5,16,5,1184,2.75251,70,0.282051282,78,22,
high,Trial    28,Arena 3,74,8,Batch 4,0.5652,3.2,1.86694,,770.549,144.333,272.133,39,419.666,8,780.334,8.39712,28,0.240506329,79,19,2
Control,Trial    12,Arena 4,65,7,Batch 4,0.9124,3.73,1.87002,,1716.43,346.333,575.866,37,924.066,0,275.934,11.3516,58,0.098901099,91,9,
Control,Trial    32,Arena 3,154,20,Batch 8,0.5601,3.1,1.90528,,229.904,38.3333,84.5999,24,124.033,3,1075.967,5.02473,61,0.282051282,78,22,
low,Trial    37,Arena 3,98,21,Batch 5,0.4322,2.99,1.93986,,1009.96,158.967,365.066,31,525.633,1,674.367,7.82612,36,0.408450704,71,29,
low,Trial    37,Arena 4,97,21,Batch 5,0.8558,3.8,1.94217,,31.8516,6.29999,10.6,5,17.0666,1,1182.9334,1.15797,35,1.0625,48,51,1
Control,Trial    40,Arena 3,158,24,Batch 8,0.5014,3.2,1.95955,,1267.96,235.433,414.4,22,650.999,1,549.001,13.9073,35,0.136363636,88,12,
