feature,metadata,value,coef,stderr,N,N.not.0,pval,qval,approximate_fold_change,direction
Paramuribaculum,treatment,Low,0.288088571862404,1.10900746760212,121,54,0.798167296209266,0.982942924299246,1.3338754427236064,Higher than Control
Duncaniella.1,treatment,High,0.135415674968949,0.533870686880751,121,25,0.803045960374641,0.982942924299246,1.145012638537096,Higher than Control
UBA3282,treatment,High,0.34404073807469,1.37505926985297,121,62,0.805357903828976,0.982942924299246,1.4106361009359953,Higher than Control
ZC4RG30,treatment,High,0.24403168544277,1.01367179430142,121,29,0.812988993707316,0.982942924299246,1.276384772665404,Higher than Control
Dubosiella,treatment,High,0.240245910540636,1.00342811503323,121,48,0.813580954037367,0.982942924299246,1.2715618023278796,Higher than Control
Desulfovibrio.1,treatment,High,-0.164354207811703,0.697563653258856,121,37,0.816638869061885,0.982942924299246,0.8484414440625843,Lower than Control
Fimbriiglobus,treatment,High,0.263579364081584,1.12297826395108,121,30,0.817432135891373,0.982942924299246,1.3015805895907477,Higher than Control
Rossellomorea,treatment,High,0.0997354433762486,0.438783634846443,121,22,0.820587311770005,0.982942924299246,1.1048785764610536,Higher than Control
Phocaeicola,treatment,Low,-0.184275065824193,0.801984525478232,121,41,0.820995337827095,0.982942924299246,0.8317069981888647,Lower than Control
Lacticaseibacillus,treatment,High,-0.0557257201663066,0.277061595655735,121,13,0.843787551666278,0.982942924299246,0.9457985137767746,Lower than Control
Enterenecus,treatment,Low,-0.0685358615469612,0.347440647570967,121,13,0.845890553282412,0.982942924299246,0.9337599734259469,Lower than Control
Caulobacter,treatment,Low,0.126264592985857,0.639958082506636,121,55,0.846118830779757,0.982942924299246,1.1345823310974719,Higher than Control
Bifidobacterium,treatment,Low,0.145783727269314,0.799110067182108,121,17,0.857503854878175,0.982942924299246,1.156945945132602,Higher than Control
Prevotella,treatment,Low,-0.098623162066169,0.550127152254297,121,28,0.860107335720219,0.982942924299246,0.9060840905531262,Lower than Control
Phocaeicola,treatment,High,0.129499061739742,0.734552285273774,121,41,0.862202601208588,0.982942924299246,1.1382580434799983,Higher than Control
Bifidobacterium.1,treatment,High,0.120473905751623,0.685178147146502,121,31,0.862845612492064,0.982942924299246,1.1280313054526556,Higher than Control
Bosea,treatment,Low,-0.0689549495723222,0.39977820389972,121,14,0.865582222437313,0.982942924299246,0.9333687277914292,Lower than Control
