feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Limnohabitans	treatment	High	0.21853666790211	0.393200096139307	121	16	0.585440050955663	0.971804922352164
Aquabacterium	treatment	High	-0.246902691663955	0.590504393220148	121	20	0.681167428902947	0.971804922352164
Aquabacterium.1	log_reads	log_reads	0.12033037362404	0.299001857883119	121	76	0.688117211706372	0.971804922352164
Lautropia	treatment	Low	0.168327529781889	0.429479344932219	121	14	0.703007816169651	0.971804922352164
Massilia	treatment	High	0.933310794121528	1.62899966752571	121	95	0.574137258837107	0.971804922352164
Ralstonia	treatment	Low	0.707079052335769	1.34280926866238	121	97	0.604752490645005	0.971804922352164
Neisseria	log_reads	log_reads	-0.0710493643888463	0.145201116076876	121	18	0.625593027509832	0.971804922352164
Moraxella	treatment	Low	-0.398429504292558	0.843681332588361	121	30	0.642947354461706	0.971804922352164
Acinetobacter	treatment	Low	0.44951692257015	1.03560148325198	121	121	0.669335678407418	0.971804922352164
Klebsiella	treatment	Low	0.207866884142193	0.519141096630741	121	19	0.694123097288815	0.971804922352164
Vibrio	treatment	High	0.222449624471786	0.522792064188832	121	13	0.675674783033048	0.971804922352164
Caulobacter	treatment	High	0.305461459751192	0.583761449974971	121	55	0.607993696768257	0.971804922352164
Tardiphaga	treatment	High	0.230603450565999	0.425497943703028	121	16	0.595366252173575	0.971804922352164
Bradyrhizobium	treatment	Low	0.627188490411277	1.22532994696981	121	41	0.615256585352925	0.971804922352164
Bradyrhizobium	treatment	High	0.488290253040975	1.1310911990185	121	41	0.671454559225549	0.971804922352164
Methylobacterium.Methylorubrum	treatment	Low	-0.354184456849262	0.809568006962477	121	59	0.667977574358499	0.971804922352164
Methylobacterium	treatment	High	0.651860767971221	1.1645613674214	121	76	0.582893558730368	0.971804922352164
Nereida	treatment	Low	0.406201569226078	0.72128515267735	121	26	0.580355586120746	0.971804922352164
Nereida	treatment	High	0.327460686299376	0.659711408209248	121	26	0.625898721813914	0.971804922352164
Nereida	log_reads	log_reads	-0.0889188181358386	0.226323011906277	121	26	0.695128746777361	0.971804922352164
Qipengyuania	treatment	High	-0.168470566181306	0.415490760870871	121	16	0.695180023619025	0.971804922352164
Novosphingobium	treatment	Low	-0.490613829415358	1.21906392198896	121	103	0.692215511601536	0.971804922352164
Sphingomonas	treatment	High	0.598238611627417	1.22764410229381	121	96	0.632252367529293	0.971804922352164
Pelagibacter	treatment	High	0.23882261798204	0.3918507520868	121	13	0.550994458781072	0.971804922352164
Pelagibacter	log_reads	log_reads	-0.0650033681878675	0.14886624752359	121	13	0.663212649448821	0.971804922352164
VGCI01	treatment	Low	0.194878303038873	0.39022436279142	121	14	0.624336393120862	0.971804922352164
Odoribacter	treatment	High	0.610303016819417	1.39756089791099	121	60	0.667982140031469	0.971804922352164
Alistipes	treatment	High	0.276625247450069	0.70535666730994	121	25	0.699632342562817	0.971804922352164
Desulfovibrio	treatment	Low	-0.225543091405469	0.53074685315194	121	19	0.676148556767602	0.971804922352164
Desulfovibrio	treatment	High	-0.263352300957103	0.486518460979842	121	19	0.595492772270265	0.971804922352164
Pelethomonas	treatment	Low	0.158574803591902	0.318061895409516	121	13	0.624360712243105	0.971804922352164
Pelethomonas	treatment	High	0.156332248733746	0.290216685547407	121	13	0.596839342190566	0.971804922352164
Neglecta	treatment	Low	-0.157234972340491	0.268991526323923	121	13	0.559985862577585	0.971804922352164
COE1	treatment	Low	-0.318425519075484	0.543858385134237	121	26	0.566601814481589	0.971804922352164
COE1	treatment	High	-0.195480385554904	0.496060073834587	121	26	0.698822339007948	0.971804922352164
Lachnospiraceae.NK4A136.group	treatment	High	0.718875135804868	1.69802158184665	121	73	0.677458654160992	0.971804922352164
Gemella	treatment	High	-0.195798623499849	0.421463193623289	121	18	0.648238141167708	0.971804922352164
Staphylococcus	log_reads	log_reads	0.0723144075721016	0.158730335137347	121	17	0.649536221710687	0.971804922352164
Ileibacterium	treatment	High	-0.191171735193981	0.342338994903463	121	27	0.583997997837977	0.971804922352164
UBA7173	treatment	High	0.135750584274954	0.284922469046177	121	14	0.634644212476221	0.971804922352164
Muribaculum	treatment	Low	0.50989517561602	0.967579887522399	121	49	0.604856728115437	0.971804922352164
Pelomonas	log_reads	log_reads	0.124804542315312	0.337786831029971	121	68	0.712443657864305	0.980044446427971
SOKP01	treatment	Low	0.068980534380621	1.17021469761501	121	54	0.953711945930112	0.982942924299246
SOKP01	treatment	High	-0.051318098278091	1.07487992964874	121	54	0.962521589875498	0.982942924299246
Cutibacterium	treatment	Low	-0.32845113575016	1.00507315235059	121	38	0.747558195253654	0.982942924299246
Bifidobacterium	treatment	Low	0.145783727269314	0.799110067182108	121	17	0.857503854878175	0.982942924299246
Bifidobacterium	treatment	High	-0.232555510423106	0.731418241864149	121	17	0.754710957467126	0.982942924299246
Bifidobacterium	log_reads	log_reads	0.0390160409501221	0.241562431047773	121	17	0.871967855612347	0.982942924299246
Bifidobacterium.1	treatment	Low	-0.0982312366646075	0.749560650348753	121	31	0.897473098751157	0.982942924299246
Bifidobacterium.1	treatment	High	0.120473905751623	0.685178147146502	121	31	0.862845612492064	0.982942924299246
Deinococcus	treatment	Low	-0.114454189880305	1.38322672457973	121	58	0.934979473969788	0.982942924299246
Pseudomonas_E	log_reads	log_reads	-0.0602503306717084	0.189355305962822	121	121	0.750971643534283	0.982942924299246
Pseudomonas	treatment	Low	0.025755209875926	0.529584876769835	121	121	0.961740974830521	0.982942924299246
ZC4RG30	treatment	High	0.24403168544277	1.01367179430142	121	29	0.812988993707316	0.982942924299246
Methylophaga	treatment	Low	-0.109491731784407	0.900403976895391	121	34	0.904606094088375	0.982942924299246
Thiomicrorhabdus	treatment	Low	-0.0938721966638712	1.04745640896109	121	37	0.929722062796657	0.982942924299246
Variovorax	log_reads	log_reads	-0.0185308891601895	0.210602201167075	121	25	0.93004373218722	0.982942924299246
Acidovorax	treatment	Low	0.104304211080547	0.622614002269623	121	27	0.868880621363207	0.982942924299246
Pelomonas	treatment	Low	0.349707328684093	1.11985974089987	121	68	0.758615841990085	0.982942924299246
Aquabacterium.1	treatment	High	0.0365983298374302	0.832426374139334	121	76	0.965514858265571	0.982942924299246
Lautropia	treatment	High	0.132565512744441	0.391866157682896	121	14	0.741731237514274	0.982942924299246
Massilia	treatment	Low	0.28739951024819	1.76762613379406	121	95	0.872690621388252	0.982942924299246
Herbaspirillum	treatment	High	-0.215552902160091	0.715596682297259	121	39	0.766945419453678	0.982942924299246
Herbaspirillum.1	treatment	Low	0.151826576031731	0.432675793372885	121	19	0.726293300043516	0.982942924299246
Neisseria	treatment	High	0.107015969882696	0.373264433055003	121	18	0.777681518350124	0.982942924299246
Moraxella	treatment	High	-0.255736249898084	0.772505987822877	121	30	0.744923827035496	0.982942924299246
Acinetobacter	log_reads	log_reads	0.039074452736483	0.225533614955272	121	121	0.862759522797059	0.982942924299246
Klebsiella	treatment	High	-0.0551799279512857	0.473740767639785	121	19	0.90874088886592	0.982942924299246
